best_params,model_name,target,rmse_train,rmse_test,mae_test,r2_test,overfit_ratio,split_seed,track,feature_set
"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.33, 'max_depth': None}",ERT,P_kbar,1.1057643601391822,4.304418915386147,3.277503854931253,0.7438537763812975,0.2568905076098953,44,opx_liq,pwlr
"{'subsample': 0.9, 'reg_lambda': 5, 'reg_alpha': 1, 'n_estimators': 800, 'max_depth': 6, 'learning_rate': 0.01, 'colsample_bytree': 0.7}",XGB,T_C,10.80084674381823,86.95543704797188,71.74150672325722,0.8441859037357834,0.12421128695908434,44,opx_liq,pwlr
"{'subsample': 0.7, 'reg_lambda': 5, 'reg_alpha': 1, 'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",XGB,P_kbar,1.2050888925473908,4.03026336996622,3.08965802059875,0.7754434383945131,0.29900996086950304,44,opx_liq,pwlr
"{'min_samples_leaf': 10, 'max_leaf_nodes': 15, 'max_iter': 500, 'max_depth': None, 'learning_rate': 0.1, 'l2_regularization': 0.0}",GB,T_C,18.440805362256196,90.87886836518832,74.08519848668618,0.82980802362601,0.20291631810547558,44,opx_liq,pwlr
"{'min_samples_leaf': 10, 'max_leaf_nodes': 15, 'max_iter': 500, 'max_depth': None, 'learning_rate': 0.1, 'l2_regularization': 0.0}",GB,P_kbar,1.446165937664359,4.825373567140232,3.8426945650214313,0.6781001481827982,0.29970030662754105,44,opx_liq,pwlr
"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.66, 'max_depth': 10}",RF,T_C,4.011975842676106,78.0911052441606,50.762745343875174,0.8328575711569711,0.051375580229428355,45,opx_liq,raw
"{'n_estimators': 800, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 0.66, 'max_depth': None}",RF,P_kbar,1.103267261052326,5.692268580943558,3.539578654138792,0.6879983895497132,0.1938185532470864,45,opx_liq,raw
"{'n_estimators': 800, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.66, 'max_depth': 20}",ERT,T_C,16.588165951819484,81.56901328573593,51.18393673974866,0.8176381508163676,0.20336357255801543,45,opx_liq,raw
"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10}",ERT,P_kbar,2.1254084184031323,7.849622527105583,5.2051434872897255,0.4066873409420212,0.27076568472737006,45,opx_liq,raw
"{'subsample': 0.7, 'reg_lambda': 5, 'reg_alpha': 10, 'n_estimators': 800, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",XGB,T_C,0.6591300699182686,99.73340323749474,68.60077381481373,0.7273755217115234,0.006608919865580892,45,opx_liq,raw
"{'subsample': 0.9, 'reg_lambda': 10, 'reg_alpha': 0, 'n_estimators': 500, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",XGB,P_kbar,0.6801269277679602,5.715276095827224,4.279494913876258,0.6854711409833206,0.11900158738867003,45,opx_liq,raw
"{'min_samples_leaf': 10, 'max_leaf_nodes': 15, 'max_iter': 500, 'max_depth': 3, 'learning_rate': 0.01, 'l2_regularization': 1.0}",GB,T_C,44.834839460673614,81.47928979158424,53.953920914406126,0.8180391154159008,0.5502605579326549,45,opx_liq,raw
"{'min_samples_leaf': 10, 'max_leaf_nodes': 15, 'max_iter': 500, 'max_depth': None, 'learning_rate': 0.1, 'l2_regularization': 0.0}",GB,P_kbar,0.933239883718602,5.80935095068773,4.5041917172621435,0.6750314773537224,0.16064443199254852,45,opx_liq,raw
"{'n_estimators': 800, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.66, 'max_depth': 20}",RF,T_C,16.33048257382492,76.6265208628377,50.90394678281654,0.8390682312537243,0.2131178916899628,45,opx_liq,alr
"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.66, 'max_depth': 10}",RF,P_kbar,0.2501380759188518,7.098330717841035,4.211818685082571,0.5148248729943452,0.03523899996518217,45,opx_liq,alr
"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.66, 'max_depth': 10}",ERT,T_C,22.488655653739656,82.42986659164632,53.958272567322155,0.8137686619343908,0.2728216917436904,45,opx_liq,alr
"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.33, 'max_depth': None}",ERT,P_kbar,1.4232560726816839,9.068756742409196,6.122021826954367,0.20807952046736844,0.1569405942962346,45,opx_liq,alr
"{'subsample': 0.8, 'reg_lambda': 5, 'reg_alpha': 10, 'n_estimators': 800, 'max_depth': 8, 'learning_rate': 0.1, 'colsample_bytree': 0.9}",XGB,T_C,0.5654770812791433,91.3741878424475,67.30538339516566,0.7711606900721597,0.00618858667454501,45,opx_liq,alr
"{'subsample': 0.8, 'reg_lambda': 10, 'reg_alpha': 1, 'n_estimators': 800, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",XGB,P_kbar,0.360801299640759,6.203928322394845,4.673248311312378,0.629387885024443,0.058156909766082246,45,opx_liq,alr
"{'min_samples_leaf': 10, 'max_leaf_nodes': 31, 'max_iter': 200, 'max_depth': 5, 'learning_rate': 0.05, 'l2_regularization': 1.0}",GB,T_C,30.2977570731203,78.98739082897477,55.870771279169716,0.8289988205048777,0.38357713497236123,45,opx_liq,alr
"{'min_samples_leaf': 10, 'max_leaf_nodes': 31, 'max_iter': 200, 'max_depth': 5, 'learning_rate': 0.05, 'l2_regularization': 1.0}",GB,P_kbar,1.4821169819328566,6.418794856051108,4.996426527884562,0.6032718101796811,0.2309026873690533,45,opx_liq,alr
"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.5, 'max_depth': None}",RF,T_C,0.0,79.43231813884857,52.95127553629305,0.8270669329506329,0.0,45,opx_liq,pwlr
