perturbation,regime,n,edges,a,b,pre_rmse,pre_lo,pre_hi,post_rmse,post_lo,post_hi,delta_rmse,pipeline,track,target,model,feature_set,seed,ships,overall_delta,max_regime_degradation
inner_m1,lithospheric_mantle,214,"[0.0, 4.0, 14.0, 29.0, 100.0]",0.06871805187497791,17.609573934767106,10.430104498582644,7.705869143414654,12.73235492477334,3.8299299978474437,3.6177605184997144,4.049460803639643,6.6001745007352,cpx,cpx_only,P_kbar,MLP,alr,42,True,2.5592781308130377,-1.2160400462800744
inner_m1,deeper_mantle,142,"[0.0, 4.0, 14.0, 29.0, 100.0]",0.6000730411602554,35.240472782051754,26.26760954304999,21.07267262124671,31.636918072794238,25.051569496769915,21.999336836519912,28.352501937643275,1.2160400462800744,cpx,cpx_only,P_kbar,MLP,alr,42,True,2.5592781308130377,-1.2160400462800744
inner_m1,ALL,784,"[0.0, 4.0, 14.0, 29.0, 100.0]",,,13.465659048869949,11.3347942579105,15.482295845762891,10.906380918056911,9.232261626811507,12.484506438767548,2.5592781308130377,cpx,cpx_only,P_kbar,MLP,alr,42,True,2.5592781308130377,-1.2160400462800744
inner_p1,shallow_crustal,245,"[0.0, 6.0, 16.0, 31.0, 100.0]",-0.00414788738091463,0.8847498832304125,8.386402154372282,7.167608909190833,9.566518393873737,1.377553189884943,1.2016359055012318,1.5500480164024035,7.008848964487339,cpx,cpx_only,P_kbar,MLP,alr,42,True,2.8161375558955832,-1.9079317170338577
inner_p1,deep_crustal_MASH,303,"[0.0, 6.0, 16.0, 31.0, 100.0]",0.14763646306642678,9.789305808934548,5.291651452930159,4.871314785736262,5.727732994087252,2.15857925369189,2.026289567391012,2.2786734957700663,3.133072199238269,cpx,cpx_only,P_kbar,MLP,alr,42,True,2.8161375558955832,-1.9079317170338577
inner_p1,lithospheric_mantle,154,"[0.0, 6.0, 16.0, 31.0, 100.0]",0.0230378213640464,23.145503868469085,12.309425747195807,9.525305180771378,15.36374082542462,5.207292551739472,4.923429880066897,5.467370196849755,7.102133195456335,cpx,cpx_only,P_kbar,MLP,alr,42,True,2.8161375558955832,-1.9079317170338577
inner_p1,deeper_mantle,82,"[0.0, 6.0, 16.0, 31.0, 100.0]",0.44904673026723796,56.3072317766117,33.69661257353116,27.68285690698494,39.92428218601114,31.788680856497304,28.63911201885143,34.98577714441834,1.9079317170338577,cpx,cpx_only,P_kbar,MLP,alr,42,True,2.8161375558955832,-1.9079317170338577
inner_p1,ALL,784,"[0.0, 6.0, 16.0, 31.0, 100.0]",,,13.465659048869949,11.3347942579105,15.482295845762891,10.649521492974365,9.314158989471998,12.11419429349765,2.8161375558955832,cpx,cpx_only,P_kbar,MLP,alr,42,True,2.8161375558955832,-1.9079317170338577
base,shallow_crustal,236,"[0.0, 5.0, 15.0, 30.0, 100.0]",0.6549609209908365,376.15689267415735,89.94829970919403,78.20467911258874,100.50114596566029,89.48123296811757,76.63019835326843,100.57989719985214,0.46706674107646506,cpx,cpx_only,T_C,ERT,pwlr,42,False,-12.022671209705422,31.182095993526417
base,deep_crustal_MASH,193,"[0.0, 5.0, 15.0, 30.0, 100.0]",0.8270773438111058,204.40690238413083,91.12143735577587,75.30954320607056,111.35281070841165,92.5983084515396,75.99908177133132,113.7951626880886,-1.4768710957637268,cpx,cpx_only,T_C,ERT,pwlr,42,False,-12.022671209705422,31.182095993526417
base,lithospheric_mantle,213,"[0.0, 5.0, 15.0, 30.0, 100.0]",0.3701632222085081,719.9588489120731,140.0019344308756,110.79360191362484,166.18919372847722,171.184030424402,151.38829592393478,189.38461565718086,-31.182095993526417,cpx,cpx_only,T_C,ERT,pwlr,42,False,-12.022671209705422,31.182095993526417
base,deeper_mantle,142,"[0.0, 5.0, 15.0, 30.0, 100.0]",0.865433534887233,301.81075481846483,188.17289928370465,161.13360721087602,213.30416975773886,195.77814505732945,171.602527094431,219.77870716430897,-7.605245773624802,cpx,cpx_only,T_C,ERT,pwlr,42,False,-12.022671209705422,31.182095993526417
base,ALL,784,"[0.0, 5.0, 15.0, 30.0, 100.0]",,,127.34987615963153,116.14198991899386,139.28047421955077,139.37254736933696,128.84889139083012,150.3995338118479,-12.022671209705422,cpx,cpx_only,T_C,ERT,pwlr,42,False,-12.022671209705422,31.182095993526417
inner_m1,shallow_crustal,226,"[0.0, 4.0, 14.0, 29.0, 100.0]",0.6416528196829466,393.517185878702,88.8727791714117,77.50124674893891,100.20722020982295,89.71807263206239,77.14411986741015,101.57815341336108,-0.8452934606506943,cpx,cpx_only,T_C,ERT,pwlr,42,False,-10.799822316273449,29.706341519073277
inner_m1,deep_crustal_MASH,202,"[0.0, 4.0, 14.0, 29.0, 100.0]",0.8656738225027021,153.70873349602994,92.07072140906486,75.96600514573483,113.31274762264748,93.06303615305559,76.14165692275763,114.42449662186384,-0.9923147439907325,cpx,cpx_only,T_C,ERT,pwlr,42,False,-10.799822316273449,29.706341519073277
inner_m1,lithospheric_mantle,214,"[0.0, 4.0, 14.0, 29.0, 100.0]",0.38050815114007935,709.139078015283,139.91706197285043,112.10429723883698,167.041943038789,169.6234034919237,151.28288226618702,187.79747450190922,-29.706341519073277,cpx,cpx_only,T_C,ERT,pwlr,42,False,-10.799822316273449,29.706341519073277
