regime,T_obs,T_pred,T_residual,P_obs,P_pred,P_residual
lithospheric_mantle,1320.0,1333.8554332102588,13.855433210258752,20.0,19.393606492099956,-0.6063935079000444
lithospheric_mantle,1300.0,1318.0086928528308,18.00869285283079,20.0,16.872752005331506,-3.127247994668494
lithospheric_mantle,1280.0,1305.5724188424722,25.57241884247219,17.999999523162998,15.015313134419314,-2.9846863887436843
lithospheric_mantle,1290.0,1278.638094004417,-11.361905995582902,17.999999523162998,12.764961399127802,-5.235038124035196
lithospheric_mantle,1300.0,1276.1863202554846,-23.81367974451541,17.000000476837002,14.83955296384777,-2.160447512989231
lithospheric_mantle,1400.0,1544.7417037933328,144.74170379333282,22.000000476837,22.579073338559553,0.5790728617225547
lithospheric_mantle,1350.0,1486.165411896348,136.1654118963479,22.000000476837,20.327549433991653,-1.6724510428453456
lithospheric_mantle,1275.0,1434.4101262615247,159.41012626152474,15.0,12.610457490863574,-2.389542509136426
deep_crustal_MASH,1360.0,1351.4377760221746,-8.562223977825397,12.0,14.559757647205666,2.5597576472056662
deep_crustal_MASH,1360.0,1301.2914599065691,-58.708540093430884,12.0,14.108341161208225,2.108341161208225
lithospheric_mantle,1430.0,1422.3969107984315,-7.603089201568537,25.0,23.59139912911555,-1.4086008708844489
deep_crustal_MASH,1360.0,1335.075785212647,-24.924214787353094,12.0,12.330318505824446,0.33031850582444555
deep_crustal_MASH,1360.0,1336.5447295345884,-23.45527046541156,12.0,12.288228356620781,0.28822835662078106
deep_crustal_MASH,1265.0,1276.3068170040183,11.306817004018285,8.0,11.068024294510861,3.0680242945108613
deep_crustal_MASH,1310.0,1306.717483930072,-3.2825160699280787,12.0,11.296583413833917,-0.7034165861660835
lithospheric_mantle,1350.0,1292.0679082412544,-57.93209175874563,16.0,11.934014822930541,-4.065985177069459
deep_crustal_MASH,1310.0,1325.058599839483,15.058599839482895,12.0,11.423752339095051,-0.5762476609049489
lithospheric_mantle,1410.0,1359.4637433985858,-50.53625660141415,17.999999523162998,16.784128765226917,-1.2158707579360808
lithospheric_mantle,1400.0,1375.7487232431142,-24.251276756885773,17.999999523162998,18.661635764729937,0.6616362415669386
lithospheric_mantle,1360.0,1333.294411397963,-26.705588602037096,20.0,16.541983124453022,-3.458016875546978
lithospheric_mantle,1340.0,1307.3286892132955,-32.67131078670445,20.0,17.83684407582637,-2.16315592417363
lithospheric_mantle,1400.0,1339.0723810203312,-60.92761897966875,20.0,17.375607158116097,-2.6243928418839033
lithospheric_mantle,1380.0,1310.7417786225042,-69.25822137749583,20.0,15.822275397929316,-4.177724602070684
lithospheric_mantle,1420.0,1347.2942479712647,-72.70575202873533,20.0,16.58317871694609,-3.4168212830539098
lithospheric_mantle,1360.0,1291.180636651391,-68.81936334860893,16.000000238419002,13.292981957746532,-2.70701828067247
lithospheric_mantle,1400.0,1324.898638515323,-75.101361484677,16.000000238419002,15.205637358507698,-0.7943628799113043
deep_crustal_MASH,1360.0,1349.3894187652356,-10.610581234764368,12.0,13.86072646428032,1.8607264642803205
deep_crustal_MASH,1360.0,1332.552720148251,-27.447279851749045,12.0,11.797766412401053,-0.20223358759894694
deep_crustal_MASH,1360.0,1322.681569840029,-37.31843015997106,12.0,14.648664804822639,2.648664804822639
deep_crustal_MASH,1360.0,1321.0081692934084,-38.9918307065916,12.0,11.030029961530019,-0.969970038469981
