pipeline,track,target,model,feature_set,seed,aug_n_copies,aug_rel_noise,pre_rmse_all,post_rmse_a,post_rmse_b,ship_a,ship_b,winner,form_a_overall_delta,form_a_max_regime_degr,form_b_overall_delta,form_b_max_regime_degr,form_b_alpha_L,form_b_alpha_R,form_b_a_L,form_b_a_R,form_b_s_L,form_b_s_R
opx,opx_only,P_kbar,RF,pwlr,48,15,0.03,11.841293967723663,5.9351917267475525,11.981383916317768,True,False,A,5.906102240976111,-2.6958354936215834,-0.14008994859410429,1.2640329884804125,0.05,0.8300000000000001,2.9446833712847926,25.75141812088494,0.9313966882788788,1.0179231880612922
opx,opx_only,P_kbar,RF,pwlr,49,15,0.03,12.482210674420537,5.9692256886565405,12.567665802201677,True,False,A,6.512984985763997,-2.7979141709523927,-0.08545512778113995,1.0605063314093002,0.05,0.8300000000000001,2.824036146792054,25.84274639630831,1.1916981211932054,0.9810928831547959
opx,opx_only,P_kbar,RF,pwlr,50,15,0.03,12.248873781374229,5.937331681226744,12.414323517516172,True,False,A,6.311542100147485,-2.8713176606961897,-0.1654497361419427,1.5618694456163382,0.29,0.67,10.475630376184771,18.955521536953828,0.16031564763476902,0.6359407353325608
opx,opx_only,P_kbar,RF,pwlr,51,15,0.03,12.166716998387223,5.941358343896988,12.16795695280668,True,False,A,6.225358654490234,-2.7916136705178576,-0.0012399544194572343,1.204257808657875,0.16999999999999998,0.55,7.328334223891791,15.48500662839041,0.34513825452536623,0.40148057643996443
opx,opx_only,P_kbar,RF,pwlr,52,15,0.03,12.03508244031752,5.929521754565404,12.101742834235367,True,False,A,6.105560685752116,-2.765084107521256,-0.0666603939178465,1.4267284237245192,0.05,0.67,2.8153520019898037,18.43609713116251,1.0668670584671374,0.5739972309167234
opx,opx_only,P_kbar,RF,pwlr,53,15,0.03,12.079591278438857,5.95365944982439,12.176604787682392,True,False,A,6.125931828614466,-2.474054144122999,-0.09701350924353491,0.997460670236304,0.05,0.87,3.0585954820195025,27.854017396695227,0.8234775319977437,1.1146159038571513
opx,opx_only,P_kbar,RF,pwlr,54,15,0.03,12.228736896507238,5.935965147431355,12.19155248388233,True,False,A,6.292771749075883,-2.880473851082675,0.03718441262490835,1.0020043558109784,0.16999999999999998,0.5900000000000001,7.313938826755874,16.25239853599359,0.2745724655917693,0.39102245350538295
opx,opx_only,P_kbar,RF,pwlr,55,15,0.03,12.39843663137603,5.947576594667898,12.588953205401534,True,False,A,6.450860036708133,-2.7311036513453044,-0.19051657402550326,1.5175487330007336,0.05,0.87,2.923706938170002,28.06226025731855,1.5673620392424308,1.460733287881875
opx,opx_only,P_kbar,RF,pwlr,56,15,0.03,12.65145202909439,5.964564749126927,12.53296222457778,True,False,A,6.686887279967463,-3.119367538671224,0.11848980451661006,0.8536595573065497,0.16999999999999998,0.55,7.214075400162103,15.323683244946649,0.3521722143314868,0.35638776950440587
opx,opx_only,P_kbar,RF,pwlr,57,15,0.03,12.166648981166741,5.95010985682687,12.302651934724457,True,False,A,6.216539124339871,-2.939472460930446,-0.13600295355771586,1.8188574355596927,0.16999999999999998,0.55,7.294328329769885,15.898580887072995,0.24654803553944504,0.5661141965286633
opx,opx_only,P_kbar,RF,pwlr,58,15,0.03,12.093170449703498,5.954438850283415,12.177528246810509,True,False,A,6.138731599420083,-2.776519556379497,-0.08435779710701041,1.0799319791216817,0.05,0.8300000000000001,2.831559268114824,25.829117048351467,1.0878107434655837,0.9773681763379495
opx,opx_only,P_kbar,RF,pwlr,59,15,0.03,12.281148710892378,5.9662283021667175,12.325388707560721,True,False,A,6.31492040872566,-2.758452259165927,-0.04423999666834355,0.7978241472845653,0.05,0.8300000000000001,2.87419751714946,25.093477287221866,1.300158177889222,0.8047362404235731
