track,target,model,feature_set,form,seed,regime,n,pre_rmse,pre_lo,pre_hi,post_rmse,post_lo,post_hi,delta_rmse,delta_lo,delta_hi
opx_liq,T_C,ElasticNet,raw,B,47,ALL,174,77.41575783671563,62.13033924100082,93.12445543032136,76.71063661469917,61.8086314628744,92.1825381877312,0.7051212220164587,-0.9005369849951136,2.6602620003283706
opx_liq,T_C,ElasticNet,raw,A,48,shallow_crustal,47,34.94835531989943,27.407424952286103,43.40063634654622,57.62390478453303,50.49547167953388,66.71627366494272,-22.675549464633605,-26.02757312110404,-18.42679524436965
opx_liq,T_C,ElasticNet,raw,A,48,deep_crustal_MASH,61,78.44334175674767,30.48514081153158,111.56500033314262,77.08856102862009,32.85274254843428,108.0732432940764,1.3547807281275794,-2.6564783040694477,3.5769429921896543
opx_liq,T_C,ElasticNet,raw,A,48,lithospheric_mantle,58,93.79206894514216,79.49786882731563,108.84146760378952,93.97640104183348,79.4553299062371,109.32197724707,-0.1843320966913211,-3.3728025177691525,3.6545332449979506
opx_liq,T_C,ElasticNet,raw,A,48,deeper_mantle,8,107.19154948084609,79.46731021803164,131.71716009499607,57.5137230126558,49.96585698783563,64.63200168598107,49.67782646819029,25.27525432505771,71.28596541570184
opx_liq,T_C,ElasticNet,raw,A,48,ALL,174,77.12147075890722,61.81904861243675,92.70800486045383,77.9499888888186,63.83584171589878,92.46609888432165,-0.8285181299113731,-4.444884828005972,2.6955189602697187
opx_liq,T_C,ElasticNet,raw,B,48,shallow_crustal,47,34.94835531989943,27.407424952286103,43.40063634654622,34.94835531989943,27.407424952286103,43.40063634654622,0.0,0.0,0.0
opx_liq,T_C,ElasticNet,raw,B,48,deep_crustal_MASH,61,78.44334175674767,30.48514081153158,111.56500033314262,78.44334175674767,30.48514081153158,111.56500033314262,0.0,0.0,0.0
opx_liq,T_C,ElasticNet,raw,B,48,lithospheric_mantle,58,93.79206894514216,79.49786882731563,108.84146760378952,96.01602675478885,80.70660780077108,111.9752777841956,-2.2239578096466914,-5.726233542489139,0.03905196642244064
opx_liq,T_C,ElasticNet,raw,B,48,deeper_mantle,8,107.19154948084609,79.46731021803164,131.71716009499607,79.51525580582009,68.21476802856799,89.79378704940271,27.676293675026002,8.807491021891913,43.377409818714455
opx_liq,T_C,ElasticNet,raw,B,48,ALL,174,77.12147075890722,61.81904861243675,92.70800486045383,76.49085063871182,61.54758212356235,92.05448961729049,0.6306201201954025,-1.203377825162443,2.752142985673317
opx_liq,T_C,ElasticNet,raw,A,49,shallow_crustal,47,34.82074262128766,27.41941451770417,43.14654832773787,56.651518311452854,49.809990954467885,65.32181987136401,-21.830775690165197,-24.90991087612657,-17.968405655696216
