sample_id,tectonic_setting,KD_FeMg_opx_cpx,equilibrium_flag,delta_ours_vs_putirka_twopx_eq36,delta_ours_vs_putirka_twopx_eq37,delta_ours_vs_putirka_twopx_eq39,delta_ours_vs_putirka_twopx_eq38,delta_ours_T_vs_putirka_cpxonly_eq32d,delta_ours_P_vs_putirka_opxonly_eq29c
[18984] SCOTT J. M. (2014)|samp. RAM-1,INTRAPLATE VOLCANICS,0.7138034468529989,False,73.951261582587,130.93460462059102,0.535852056502204,4.489224581469699,-189.16632093685018,8.004622336404896
[18984] SCOTT J. M. (2014)|samp. RAM-2,INTRAPLATE VOLCANICS,0.7148752825372636,False,112.37770647666969,182.7383521330811,-4.204574863722387,3.4624084945776827,-200.9419851782825,8.08479844244213
[18984] SCOTT J. M. (2014)|samp. RAM-4,INTRAPLATE VOLCANICS,0.7470484265613305,False,54.641284892031194,111.95322039671476,1.1418005339497945,3.9957260109109543,-180.11309360044118,7.552871572516002
[18984] SCOTT J. M. (2014)|samp. RAM-5,INTRAPLATE VOLCANICS,0.6686734303371353,False,119.59535632751829,198.48159160332227,-1.3737454474054456,4.7534339521943965,-199.53129834007268,13.577901690705044
[18984] SCOTT J. M. (2014)|samp. RAM-6,INTRAPLATE VOLCANICS,0.721822349975209,False,61.508321945873604,126.2671709398669,-1.4938283844915468,4.953760093931114,-186.17727951276913,7.644590220357953
[18984] SCOTT J. M. (2014)|samp. RAM-8,INTRAPLATE VOLCANICS,0.739681228756738,False,110.00949887293757,181.1515214646613,1.7078372875211212,3.420308645814325,-155.89573975978703,12.37331881588733
[18984] SCOTT J. M. (2014)|samp. ROU-1,INTRAPLATE VOLCANICS,0.926122756752011,False,92.93444515240105,79.20734348394865,2.6300758847860504,0.8362767541006555,-145.01856456535415,4.476732528795823
[18984] SCOTT J. M. (2014)|samp. ROU-3,INTRAPLATE VOLCANICS,0.9541097540952572,True,111.17107478677701,108.75628630296978,1.2556325091134823,-2.13178389494435,-149.89351377126377,3.346701717777499
[18984] SCOTT J. M. (2014)|samp. TRL-1,INTRAPLATE VOLCANICS,0.6701076436971277,False,122.93417723066659,211.05458437310767,-0.8561146198075811,2.0945903159918267,-196.07432629798416,8.810596720122435
[18984] SCOTT J. M. (2014)|samp. TRL-10,INTRAPLATE VOLCANICS,0.8509316465683229,False,93.3503747431738,114.76104470144185,3.480260385308396,0.4273594371006304,-164.660383092835,4.220710171565502
[18984] SCOTT J. M. (2014)|samp. TRL-11,INTRAPLATE VOLCANICS,0.7960014557733344,False,86.07794162537232,122.4275486837721,4.189259637888167,1.679690557925495,-170.50051830229654,6.217246302650817
[18984] SCOTT J. M. (2014)|samp. TRL-12,INTRAPLATE VOLCANICS,0.8244724957683163,False,119.4463012377073,153.04065600871888,1.9205278021912253,2.772025455170601,-176.05483418005633,6.290704749585342
[18984] SCOTT J. M. (2014)|samp. TRL-4,INTRAPLATE VOLCANICS,0.8014458702331464,False,146.6425723984422,200.44753223897362,1.162080633298313,2.0877482718293585,-148.56608663930206,6.008392582891314
[18984] SCOTT J. M. (2014)|samp. TRL-5,INTRAPLATE VOLCANICS,0.7103261313371895,False,107.68430057183593,171.07926379462606,-0.025124629897456785,5.607892808447725,-185.29698185805535,8.931879267031219
[18984] SCOTT J. M. (2014)|samp. TRL-7,INTRAPLATE VOLCANICS,0.8049924390677817,False,97.0037046770151,124.17213748020754,2.1392267589380047,2.955289596673026,-169.68460136063072,5.910022053127826
[18984] SCOTT J. M. (2014)|samp. TRL-8,INTRAPLATE VOLCANICS,0.7740205936672115,False,151.04095314778522,195.30748439465754,3.4901145497462878,0.8183548862314076,-158.3144905047177,5.887572421117094
[18984] SCOTT J. M. (2014)|samp. TRL-9,INTRAPLATE VOLCANICS,0.6605181987521498,False,130.49707748482524,216.15832743180033,-1.4939547997213865,5.798555729875897,-117.75236562044597,10.146764520870102
[18984] SCOTT J. M. (2014)|samp. WAI-11,INTRAPLATE VOLCANICS,0.8037958410559768,False,103.61179766591692,129.84377726113348,-2.5694815887074505,3.5598253197493612,-146.63004954080225,3.856472981816429
[18984] SCOTT J. M. (2014)|samp. WAI-12,INTRAPLATE VOLCANICS,0.9280262996660849,False,4.860047435900697,25.487191394107526,4.896317689379499,3.3984803858304,-175.43318842764143,5.285703858535221
