strategy,model_name,target,fold,n_test,rmse
LOSO,XGB,P_kbar,33,1,3.0343299955129606
LOSO,XGB,P_kbar,34,2,4.69220837136609
LOSO,XGB,P_kbar,35,7,2.5557366346365633
LOSO,XGB,P_kbar,36,2,1.8938971744646995
LOSO,XGB,P_kbar,37,5,4.8883292401969705
LOSO,XGB,P_kbar,38,3,3.494272179090589
LOSO,XGB,P_kbar,39,16,2.0648344625877693
LOSO,XGB,P_kbar,40,1,13.360813617706459
LOSO,XGB,P_kbar,41,2,2.784645267172465
LOSO,XGB,P_kbar,42,1,8.426786422729492
LOSO,XGB,P_kbar,43,6,1.918882953543207
LOSO,XGB,P_kbar,44,17,2.396724159493005
LOSO,XGB,P_kbar,45,6,1.977864171517436
LOSO,XGB,P_kbar,46,10,2.7973504737233705
LOSO,XGB,P_kbar,47,1,7.505748023986817
LOSO,XGB,P_kbar,48,1,1.1238698959350586
LOSO,XGB,P_kbar,49,5,4.838315105373379
LOSO,XGB,P_kbar,50,5,1.5175905117172974
LOSO,XGB,P_kbar,51,10,5.209537970253812
LOSO,XGB,P_kbar,52,1,4.492770122553338
LOSO,XGB,P_kbar,53,7,2.875882873384914
LOSO,XGB,P_kbar,54,2,3.5362152044680166
LOSO,XGB,P_kbar,55,1,5.224979400634766
LOSO,XGB,P_kbar,56,3,5.151707922864177
LOSO,XGB,P_kbar,57,3,5.958644530486622
LOSO,XGB,P_kbar,58,6,3.25497829449095
LOSO,XGB,P_kbar,59,6,6.873487093088783
LOSO,XGB,P_kbar,60,19,3.61590967814111
LOSO,XGB,P_kbar,61,2,1.3344923033240608
LOSO,XGB,P_kbar,62,17,3.832356923036484
LOSO,XGB,P_kbar,63,3,1.9415298902746978
LOSO,XGB,P_kbar,64,16,3.6273324241041687
LOSO,XGB,P_kbar,65,1,5.262836608074503
LOSO,XGB,P_kbar,66,3,3.868303066298478
LOSO,XGB,P_kbar,67,11,1.987700763468244
LOSO,XGB,P_kbar,68,14,2.7577456147665047
LOSO,XGB,P_kbar,69,1,21.230874061584473
LOSO,XGB,P_kbar,70,10,1.0953317715041786
LOSO,XGB,P_kbar,71,17,5.29679208550013
LOSO,XGB,P_kbar,72,5,7.028562728778076
LOSO,XGB,P_kbar,73,10,3.0497728442804095
LOSO,XGB,P_kbar,74,1,3.1559001883930584
