obs_T_C,obs_P_kbar,putirka_pred_T_C,putirka_pred_P_kbar,ml_pred_T_C,ml_pred_P_kbar
980.0,2.0000000298022997,1067.603210373864,-0.9669784221448834,1026.1418572591826,1.9513965450937207
940.0,2.0000000298022997,1025.9217621919215,-0.826445244327783,1009.2919254703006,1.950061462022207
1115.0,0.00099999997473788,1138.7130709149837,,1107.05641235592,2.506454732915104
1100.0,0.00099999997473788,1128.771671067056,4.244583178424848,1061.4045766614279,2.8007126617827045
1100.0,0.00099999997473788,1127.0726480004782,,1057.047445685107,2.4741702637843406
1100.0,0.00099999997473788,1125.638753832523,,1057.4106726420193,1.8253053027316006
1208.0,0.001,1213.3269551819167,2.6765155241534693,1241.932593844646,8.582070339605153
1250.0,0.001,1265.1416536529255,2.845485093544414,1264.0675047202694,3.2212156364228024
1208.0,0.001,1214.225928283829,4.214735461952277,1244.9045412920075,8.390955555537047
1261.0,0.001,1255.8908791509994,4.483131070748791,1259.9410602635535,8.897495721008877
1209.0,0.001,1215.3946843973595,1.9346516573791408,1241.1405693712536,4.441049017311626
1217.0,0.001,1219.3879205916714,1.7241289454026136,1242.913132805035,3.668251940656643
1299.0,0.001,1281.7380919724328,3.9918049339368773,1284.3586929051824,4.237550619480801
1264.0,0.001,1249.8737963531557,3.7211682487187954,1260.9748715507903,3.6405906872738996
1210.0,0.001,1223.0939668349283,1.036424906858348,1245.533278911918,4.249478391212998
1264.0,0.001,1279.775235575622,4.555249704722686,1287.1506246929043,4.099777946182255
1210.0,0.001,1210.006833402073,2.8865719817560223,1242.722458525729,8.592806976113579
1334.0,0.001,1321.3973576670905,6.445774577628501,1362.5174039507049,2.570761787871405
1260.0,0.001,1247.8348411171924,3.5415263933322354,1254.4227574906865,3.939199139573869
1206.0,0.001,1203.24047833569,-0.15674458855113094,1232.4742640961997,3.0008477537058593
1331.0,0.001,1323.4860214913351,6.4933210274549324,1350.307659871958,9.21120810801082
1261.0,0.001,1268.854066593506,6.44044512160971,1277.0092943652876,8.769018359197533
1295.0,0.001,1289.3686245309036,5.381503346890644,1278.3206198286398,2.05074189779425
1294.0,0.001,1282.223608715562,7.204626883235313,1270.7593664560832,5.436652926067185
1280.0,0.001,1265.603096876188,4.40103585302969,1265.5949526998027,4.3041780861174415
1251.0,0.001,1270.4596615589558,4.8872538186898815,1265.434650905614,4.46136079554607
1339.0,0.001,1314.5029091547167,5.811767885293485,1324.85411711871,2.4101950229951
1251.0,0.001,1264.695665508907,3.0741082110429048,1265.350895103707,3.85444600120658
1300.0,15.0,1219.6252631758175,7.1974132457247215,1228.9813392840374,10.805638314382218
1161.0,0.001,1180.9284508384517,-0.7676156746471539,1180.1505471095873,1.3656538838937309
1198.0,0.001,1193.50614036332,0.9500648643999121,1207.1145521455933,3.0908594813790176
1323.0,0.001,1324.0926552415895,,1335.6928261412509,8.986176500483328
1300.0,0.001,1287.778569001634,3.859223240229446,1286.0090607488246,10.073950372128003
1179.0,0.001,1199.40922446775,0.8798398649221406,1202.9724696026733,4.008056154598144
1309.0,0.001,1303.3114536791177,4.165237768963888,1290.231861753066,8.05477745218193
1254.0,0.001,1234.5474005180276,1.1596786380089368,1222.6425660737416,1.9174810723780384
1334.0,0.001,1333.1304869821724,,1337.1161204754617,8.913089404508217
1196.0,0.001,1194.721242380494,1.453473195203486,1197.0320236205068,3.4215952649655152
1265.0,0.001,1258.4345418441776,,1221.6969571601471,2.05467314783083
1206.0,0.001,1205.00208483895,,1201.6683472164104,3.8352085673303176
1300.0,0.001,1305.7929024191221,,1307.6046443309826,2.4574042912914837
1315.0,12.000000476837,1359.3913041085061,14.006358902572721,1304.6083400980253,14.47414235547791
1300.0,12.000000476837,1329.5934935810228,12.80037943233893,1269.378134130265,12.732730849572036
1065.0,8.0000001192093,1168.2959528020428,,1128.7623276310298,6.156765411373987
1315.0,12.000000476837,1326.287453904149,12.666654352628646,1265.8036743828363,13.915774119350958
1285.0,12.000000476837,1298.8667604957936,15.673952724646716,1315.1978655175851,13.917182179518223
1270.0,12.000000476837,1295.149788428405,15.487827865217122,1313.3801665012516,13.7200895990054
1285.0,12.000000476837,1300.7287602562033,14.87378688163401,1319.739108046715,14.1197601782147
1220.0,13.999999761580998,1280.9711758962617,12.715245449970402,1299.0932023899684,12.37022903583778
1260.0,16.000000238419002,1323.1820098063913,11.318033548037286,1250.1988253369082,11.642920311057235
1320.0,20.0,1385.2886894282697,15.38689578776016,1354.6621226348673,14.924935382340355
1300.0,20.0,1366.9883800815333,15.152216126729922,1311.0428466309584,13.223222108522908
1280.0,17.999999523162998,1343.5658187578606,14.56931963639196,1325.1217539619493,12.94424790584115
1290.0,17.999999523162998,1354.219110439998,10.708435286386393,1224.782104106,10.470195875232038
1300.0,17.000000476837002,1241.400711155622,,1272.520526176741,11.915941724808755
1400.0,22.000000476837,1449.2340349659999,,1549.8258811680237,17.728212621744316
1350.0,22.000000476837,1369.4976422772634,17.18919592490901,1523.7203061576322,17.421724744045612
1275.0,15.0,1291.6693034234636,14.827742623828227,1406.8130700194151,6.583230920279295
1360.0,12.0,,,1333.5896297059426,15.857945887546709
