index,T_mean,T_sigma,P_mean,P_sigma
274,1282.0634994438433,18.228077327972514,12.205281404735581,1.1454439157456349
275,1298.0046540580877,18.826242765914404,11.600919107637514,0.5176773613974759
279,1390.3907240259741,15.82760387495797,13.491925627879692,2.3955693306146038
280,1400.888024440837,14.162095626703119,13.957250997449798,2.7448913593486153
282,1350.2854197122322,5.400861824267051,17.02249993650852,1.6072471620622095
283,1349.4283130411256,4.715079234804079,16.78499994208405,2.1653578781237934
284,1359.9019952200576,14.564393340894663,12.018753718621275,1.003094368731561
285,1340.8960829101454,8.479837730388343,19.279999984502766,1.6618062488384302
286,1390.1852164502166,15.65375380904839,12.883199468425346,2.4740448940350546
287,1311.5929396194083,16.152746849247784,10.176487834490867,0.5270758622904235
288,1345.027305508149,11.828081975971752,14.231771312775678,1.3610215350488584
300,1364.6483897583896,14.362371521202336,15.730043094225174,1.65591744076094
301,1311.6760017760018,17.134021321435604,12.733399848425577,1.9926909598604212
302,1243.3000513161605,16.87440186464127,12.215000430064848,0.7866224151687738
303,1295.2287577630702,16.5904765279131,13.10082541110343,1.5840473503010308
332,1224.0646746303719,4.990711654044689,5.586088502340105,1.8905980821706543
333,1248.4224953553392,11.67719170529234,10.0,0.0
335,1292.3801560730935,21.727734005237238,15.0,0.0
336,1213.7217040460987,7.615865953068401,7.594662988275648,0.5164487762673124
337,1347.9304460747587,5.293868547854007,15.010000001303855,0.099498756683845
338,1237.7164054937393,12.157075654542929,11.85575114973207,0.36455650088798164
339,1340.6880272227772,6.485668435621724,13.902580603375823,1.5277074678095426
341,1355.0074951021202,9.267841921683047,15.050000007412514,0.2179449794874293
342,1250.965913961039,5.7948328606439095,12.036547940048335,0.5638466935268365
343,1342.9390184398935,5.351073451874075,15.0,0.0
345,1190.091323074402,3.7600794030133318,10.0,0.0
386,1329.4931374297,12.289534108587684,15.830002539180187,1.320867406199661
388,1359.3866711159214,5.550612166202947,19.677500000412987,1.5483034546997267
398,1344.0353743131866,11.809135506790232,15.052499999105928,0.37214747191824565
416,1346.6646250416252,15.143584828471221,4.165405009775222,5.763697986201595
417,1278.993078162578,7.747993198151034,0.535055729010653,0.6404486739964153
418,1239.7865275505744,5.003834023957268,0.767422374012987,0.4913982839090327
453,1380.841068972694,6.600778408850039,10.0,0.0
454,1355.0669368554425,17.401492218597156,10.0,0.0
455,1381.5806626845379,6.9595113336718954,10.210500037670123,0.626689620493657
